Feature,Importance
PetalArea,0.26171044344182404
PetalLengthCm,0.179178553553667
PetalWidthCm,0.12358785990194816
SepalPetalRatio,0.11716787565528201
FlowerVolumeIndex,0.10614378108804227
TotalFlowerArea,0.0767352508393058
HealthScore,0.04930002996868917
DiseaseRisk,0.021332786314749937
SepalLengthCm,0.01729588301477377
PetalAspectRatio,0.008899136577078193
SepalWidthCm,0.0076672331111674935
SepalArea,0.007605942905427415
Rainfall,0.005301967896098864
SunlightHours,0.003932744690511361
Temperature,0.003732338046639197
Humidity,0.0036492939080332697
SoilPH,0.0034620829275606225
SoilMoisture,0.0032967961592015073
