SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,SepalArea,PetalArea,TotalFlowerArea,SepalPetalRatio,PetalAspectRatio,FlowerVolumeIndex,Temperature,Humidity,SunlightHours,SoilPH,SoilMoisture,Rainfall,HealthScore,DiseaseRisk,Species
5.2,3.4,5.1,1.6,17.68,8.16,25.84,1.02,3.187,9.02,19.4,79,4.5,6.34,31,41.5,82.0,2,2
5.0,2.5,6.1,2.0,12.5,12.2,24.7,0.82,3.05,7.62,21.1,82,5.7,7.24,78,205.3,97.6,1,2
5.5,2.3,4.6,1.1,12.65,5.06,17.71,1.196,4.182,5.82,23.3,67,9.1,6.71,81,30.0,79.5,2,1
5.8,3.1,1.5,0.5,17.98,0.75,18.73,3.867,3.0,2.7,26.7,68,7.5,6.91,32,172.1,75.9,2,0
5.6,4.1,1.3,0.3,22.96,0.39,23.35,4.308,4.333,2.98,29.7,55,6.2,5.92,47,181.4,73.7,0,0
5.2,2.7,1.7,0.2,14.04,0.34,14.38,3.059,8.5,2.39,23.3,85,8.1,5.94,50,213.9,75.1,2,0
5.5,4.0,1.4,0.1,22.0,0.14,22.14,3.929,14.0,3.08,30.8,81,9.3,6.13,71,134.8,76.4,2,0
6.3,2.6,5.1,2.0,16.38,10.2,26.58,1.235,2.55,8.35,21.7,82,6.6,6.67,53,70.4,98.4,1,2
6.4,3.4,6.6,1.6,21.76,10.56,32.32,0.97,4.125,14.36,20.2,88,6.5,5.63,54,157.1,90.6,1,2
6.9,3.2,3.0,1.6,22.08,4.8,26.88,2.3,1.875,6.62,27.5,79,8.5,7.04,51,45.7,78.6,2,1
4.9,3.0,4.5,1.8,14.7,8.1,22.8,1.089,2.5,6.62,28.7,77,9.5,7.24,49,213.6,86.3,2,1
4.5,3.9,1.5,0.5,17.55,0.75,18.3,3.0,3.0,2.63,25.4,45,7.6,6.48,37,233.7,77.6,2,0
5.4,2.3,4.2,1.1,12.42,4.62,17.04,1.286,3.818,5.22,28.2,49,9.9,6.57,38,49.5,78.8,2,1
5.4,3.0,6.0,2.5,16.2,15.0,31.2,0.9,2.4,9.72,31.0,89,5.2,6.12,72,169.5,99.0,1,2
6.3,2.6,4.7,1.4,16.38,6.58,22.96,1.34,3.357,7.7,25.8,82,5.3,5.64,70,33.5,76.2,2,2
5.6,2.4,1.2,0.4,13.44,0.48,13.92,4.667,3.0,1.61,21.0,53,8.3,7.26,66,128.7,75.5,2,0
5.3,2.1,3.9,1.3,11.13,5.07,16.2,1.359,3.0,4.34,24.5,48,8.0,7.47,36,33.9,83.8,2,1
4.7,2.7,1.4,0.3,12.69,0.42,13.11,3.357,4.667,1.78,21.9,60,9.2,5.65,81,218.1,71.6,0,0
5.3,3.4,1.0,0.1,18.02,0.1,18.12,5.3,10.0,1.8,28.5,60,5.0,6.47,43,218.9,76.6,2,0
4.9,4.4,1.2,0.5,21.56,0.6,22.16,4.083,2.4,2.59,24.4,72,8.2,6.96,80,147.8,74.7,0,0
4.6,2.8,1.1,0.5,12.88,0.55,13.43,4.182,2.2,1.42,18.9,65,4.3,6.67,62,231.5,71.6,0,0
5.7,2.5,1.2,0.4,14.25,0.48,14.73,4.75,3.0,1.71,27.5,60,6.4,7.38,66,76.6,72.5,0,0
5.1,3.3,5.9,1.7,16.83,10.03,26.86,0.864,3.471,9.93,21.7,87,8.3,5.98,55,50.1,92.4,1,2
5.6,3.1,3.2,1.4,17.36,4.48,21.84,1.75,2.286,5.56,32.0,51,4.4,5.93,46,50.5,76.5,2,1
5.6,3.1,1.1,0.5,17.36,0.55,17.91,5.091,2.2,1.91,27.8,84,9.9,7.11,63,21.8,76.2,2,0
6.9,2.1,4.8,1.2,14.49,5.76,20.25,1.438,4.0,6.96,30.5,80,4.9,6.06,43,185.1,76.8,2,1
7.5,3.0,5.1,2.4,22.5,12.24,34.74,1.471,2.125,11.47,18.7,85,6.5,6.05,30,96.7,88.6,1,2
5.2,2.6,4.5,1.4,13.52,6.3,19.82,1.156,3.214,6.08,19.6,89,9.4,6.59,83,104.9,83.4,2,1
5.2,2.4,4.9,1.6,12.48,7.84,20.32,1.061,3.062,6.12,30.0,67,5.3,6.0,36,101.3,86.6,2,1
6.9,3.0,4.9,1.2,20.7,5.88,26.58,1.408,4.083,10.14,20.3,56,9.3,5.55,77,232.6,86.3,2,1
